id,manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,rating,name_distinct
2454,5150,Estados Unidos,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.0,3.25,"Kokoa Kamili, batch 1 - 76.0%"
2458,5150,Estados Unidos,2019,Dominican Republic,"Zorzal, batch 1",76.0,3.0,3.5,"Zorzal, batch 1 - 76.0%"
2454,5150,Estados Unidos,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.0,3.75,"Bejofo Estate, batch 1 - 76.0%"
2542,5150,Estados Unidos,2021,Fiji,"Matasawalevu, batch 1",68.0,3.0,3.0,"Matasawalevu, batch 1 - 68.0%"
2546,5150,Estados Unidos,2021,Venezuela,"Sur del Lago, batch 1",72.0,3.0,3.0,"Sur del Lago, batch 1 - 72.0%"
2546,5150,Estados Unidos,2021,Uganda,"Semuliki Forest, batch 1",80.0,3.0,3.25,"Semuliki Forest, batch 1 - 80.0%"
2542,5150,Estados Unidos,2021,India,"Anamalai, batch 1",68.0,3.0,3.5,"Anamalai, batch 1 - 68.0%"
797,A. Morin,Francia,2012,Bolivia,Bolivia,70.0,4.0,3.5,Bolivia - 70.0%
797,A. Morin,Francia,2012,Peru,Peru,63.0,4.0,3.75,Peru - 63.0%
1011,A. Morin,Francia,2013,Panama,Panama,70.0,4.0,2.75,Panama - 70.0%
1015,A. Morin,Francia,2013,Colombia,Colombie,70.0,4.0,2.75,Colombie - 70.0%
1011,A. Morin,Francia,2013,Madagascar,"Madagascar, Criollo",70.0,4.0,3.0,"Madagascar, Criollo - 70.0%"
1015,A. Morin,Francia,2013,Burma,Birmanie,70.0,4.0,3.0,Birmanie - 70.0%
1011,A. Morin,Francia,2013,Brazil,Brazil,70.0,4.0,3.25,Brazil - 70.0%
1015,A. Morin,Francia,2013,Papua New Guinea,Papua New Guinea,70.0,4.0,3.25,Papua New Guinea - 70.0%
1019,A. Morin,Francia,2013,Peru,Piura,70.0,4.0,3.25,Piura - 70.0%
1019,A. Morin,Francia,2013,Peru,Chanchamayo Province,70.0,4.0,3.5,Chanchamayo Province - 70.0%
1011,A. Morin,Francia,2013,Ecuador,Equateur,70.0,4.0,3.75,Equateur - 70.0%
1015,A. Morin,Francia,2013,Venezuela,Chuao,70.0,4.0,4.0,Chuao - 70.0%
1019,A. Morin,Francia,2013,Peru,Chanchamayo Province,63.0,3.0,4.0,Chanchamayo Province - 63.0%
1315,A. Morin,Francia,2014,Venezuela,"Carenero, Criollo",70.0,4.0,2.75,"Carenero, Criollo - 70.0%"
1315,A. Morin,Francia,2014,Cuba,Cuba,70.0,4.0,3.5,Cuba - 70.0%
1315,A. Morin,Francia,2014,Venezuela,"Sur del Lago, Criollo",70.0,4.0,3.5,"Sur del Lago, Criollo - 70.0%"
1319,A. Morin,Francia,2014,Venezuela,"Puerto Cabello, Criollo",70.0,4.0,3.75,"Puerto Cabello, Criollo - 70.0%"
1319,A. Morin,Francia,2014,Peru,Pablino,70.0,4.0,4.0,Pablino - 70.0%
1676,A. Morin,Francia,2015,Togo,Kpime,70.0,4.0,2.75,Kpime - 70.0%
1676,A. Morin,Francia,2015,Togo,Atsane,70.0,4.0,3.0,Atsane - 70.0%
1680,A. Morin,Francia,2015,Togo,Akata,70.0,4.0,3.5,Akata - 70.0%
1704,A. Morin,Francia,2015,Peru,Quilla,70.0,4.0,3.5,Quilla - 70.0%
1876,A. Morin,Francia,2016,Sao Tome,Agua Grande,63.0,4.0,3.75,Agua Grande - 63.0%
2206,A. Morin,Francia,2018,Venezuela,Porcelana,70.0,4.0,3.5,Porcelana - 70.0%
2206,A. Morin,Francia,2018,Peru,Absolu,63.0,4.0,3.75,Absolu - 63.0%
2648,A. Morin,Francia,2021,Mexico,La Joya,70.0,4.0,4.0,La Joya - 70.0%
1462,Acalli,Estados Unidos,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,2.0,3.75,"Chulucanas, El Platanal, batch 001 - 70.0%"
1470,Acalli,Estados Unidos,2015,Peru,"Tumbes, Norandino",70.0,2.0,3.75,"Tumbes, Norandino - 70.0%"
2462,Acalli,Estados Unidos,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,2.0,3.25,"Teapa, Tabasco, batch 2 - 74.0%"
2470,Acalli,Estados Unidos,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,2.0,3.5,"Barataria, El Plantal and Norandino Tumbes blend - 70.0%"
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60.0,3.0,2.75,Vanua Levu - 60.0%
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.0,3.25,"Vanua Levu, Toto-A - 80.0%"
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.0,3.5,Vanua Levu - 88.0%
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.0,3.5,"Vanua Levu, Ami-Ami-CA - 72.0%"
2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.0,2.5,"Malekula Island, batch M10/19 - 70.0%"
2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.0,2.75,"Malo Island, batch Ma20/19 - 70.0%"
2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.0,2.75,"Santo Island, batch S15/19 - 70.0%"
2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,2.0,3.0,"EPI Island, batch E 11/19 - 70.0%"
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,4.0,2.75,"Los Rios, Quevedo, Arriba - 55.0%"
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,4.0,3.0,"Los Rios, Quevedo, Arriba - 70.0%"
316,Ah Cacao,México,2009,Mexico,Tabasco,70.0,3.0,3.0,Tabasco - 70.0%
502,Akesson's (Pralus),Reiuno Unido,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,4.0,2.75,"Madagascar, Ambolikapiky P. - 75.0%"
508,Akesson's (Pralus),Reiuno Unido,2010,Brazil,"Monte Alegre, D. Badero",75.0,4.0,2.75,"Monte Alegre, D. Badero - 75.0%"
636,Akesson's (Pralus),Reiuno Unido,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,4.0,3.75,"Bali (west), Sukrama Family, Melaya area - 75.0%"
1061,Alain Ducasse,Francia,2013,Venezuela,Chuao,75.0,5.0,2.5,Chuao - 75.0%
1173,Alain Ducasse,Francia,2013,Peru,"Piura, Perou",75.0,5.0,2.5,"Piura, Perou - 75.0%"
1215,Alain Ducasse,Francia,2014,Trinidad,Trinite,65.0,6.0,2.75,Trinite - 65.0%
1215,Alain Ducasse,Francia,2014,Vietnam,Vietnam,75.0,5.0,2.75,Vietnam - 75.0%
1215,Alain Ducasse,Francia,2014,Madagascar,Madagascar,75.0,5.0,3.0,Madagascar - 75.0%
1992,Alain Ducasse,Francia,2017,Mexico,"Porcelana, Mexique",75.0,6.0,3.5,"Porcelana, Mexique - 75.0%"
1944,Alexandre,Holanda,2017,Ecuador,"Winak Coop, Napo",70.0,3.0,3.5,"Winak Coop, Napo - 70.0%"
1944,Alexandre,Holanda,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.0,3.5,"La Dalia, Matagalpa - 70.0%"
1944,Alexandre,Holanda,2017,Tanzania,"Makwale Village, Kyela",70.0,3.0,3.5,"Makwale Village, Kyela - 70.0%"
1944,Alexandre,Holanda,2017,Vietnam,Tien Giang,70.0,3.0,3.5,Tien Giang - 70.0%
1125,Altus aka Cao Artisan,Estados Unidos,2013,Venezuela,Sur del Lago,60.0,4.0,2.5,Sur del Lago - 60.0%
1125,Altus aka Cao Artisan,Estados Unidos,2013,Dominican Republic,"Conacado, batch 130",60.0,4.0,3.0,"Conacado, batch 130 - 60.0%"
1133,Altus aka Cao Artisan,Estados Unidos,2013,Bolivia,"Bolivia, batch 154",60.0,4.0,3.0,"Bolivia, batch 154 - 60.0%"
1129,Altus aka Cao Artisan,Estados Unidos,2013,Bolivia,"Bolivia, batch 101",80.0,4.0,3.25,"Bolivia, batch 101 - 80.0%"
1133,Altus aka Cao Artisan,Estados Unidos,2013,Peru,"Peru, batch 148",60.0,4.0,3.25,"Peru, batch 148 - 60.0%"
1732,Altus aka Cao Artisan,Estados Unidos,2016,Bolivia,CIAAB Coop,60.0,3.0,2.5,CIAAB Coop - 60.0%
1732,Altus aka Cao Artisan,Estados Unidos,2016,Peru,Villa Andina,60.0,3.0,2.5,Villa Andina - 60.0%
1728,Altus aka Cao Artisan,Estados Unidos,2016,Nicaragua,Momotombo,60.0,3.0,2.75,Momotombo - 60.0%
1732,Altus aka Cao Artisan,Estados Unidos,2016,Ecuador,Gruppo Salinas,60.0,3.0,2.75,Gruppo Salinas - 60.0%
1728,Altus aka Cao Artisan,Estados Unidos,2016,Peru,Acopagro,60.0,3.0,3.0,Acopagro - 60.0%
2044,Altus aka Cao Artisan,Estados Unidos,2018,Dominican Republic,Oko Caribe,70.0,3.0,3.0,Oko Caribe - 70.0%
147,Amano,Estados Unidos,2007,Venezuela,Cuyagua,70.0,4.0,3.0,Cuyagua - 70.0%
129,Amano,Estados Unidos,2007,Madagascar,Madagascar,70.0,4.0,3.5,Madagascar - 70.0%
175,Amano,Estados Unidos,2007,Venezuela,Ocumare,70.0,4.0,3.75,Ocumare - 70.0%
304,Amano,Estados Unidos,2008,Indonesia,"Bali, Jembrana",70.0,4.0,2.75,"Bali, Jembrana - 70.0%"
363,Amano,Estados Unidos,2009,Venezuela,Montanya,70.0,4.0,3.0,Montanya - 70.0%
544,Amano,Estados Unidos,2010,Venezuela,Chuao,70.0,4.0,3.0,Chuao - 70.0%
470,Amano,Estados Unidos,2010,Dominican Republic,Dos Rios,70.0,4.0,3.75,Dos Rios - 70.0%
470,Amano,Estados Unidos,2010,Ecuador,Guayas,70.0,4.0,4.0,Guayas - 70.0%
725,Amano,Estados Unidos,2011,Papua New Guinea,Morobe,70.0,4.0,4.0,Morobe - 70.0%
327,Amatller (Simon Coll),España,2009,Ecuador,Ecuador,70.0,2.0,2.75,Ecuador - 70.0%
464,Amatller (Simon Coll),España,2009,Ecuador,Ecuador,85.0,2.0,2.75,Ecuador - 85.0%
322,Amatller (Simon Coll),España,2009,Ghana,Ghana,70.0,2.0,3.0,Ghana - 70.0%
464,Amatller (Simon Coll),España,2009,Ghana,Ghana,85.0,2.0,3.0,Ghana - 85.0%
1964,Amazing Cacao,Rusia,2017,Peru,Maranon,70.0,,3.0,Maranon - 70.0%
1964,Amazing Cacao,Rusia,2017,Peru,Platan Bajo,70.0,,3.5,Platan Bajo - 70.0%
1145,Amazona,Perú,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.0,3.25,"LamasdelChanka, San Martin, Oro Verde coop - 72.0%"
1145,Amazona,Perú,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.0,3.5,"Bellavista Gran Pajeten, San Martin - 73.0%"
1494,Ambrosia,Canadá,2015,Belize,Belize,64.0,4.0,3.0,Belize - 64.0%
