name_distinct,ingredients
"Kokoa Kamili, batch 1 - 76.0%",Grano de cacao
"Kokoa Kamili, batch 1 - 76.0%",Azúcar
"Kokoa Kamili, batch 1 - 76.0%",Manteca de cacao
"Zorzal, batch 1 - 76.0%",Grano de cacao
"Zorzal, batch 1 - 76.0%",Azúcar
"Zorzal, batch 1 - 76.0%",Manteca de cacao
"Bejofo Estate, batch 1 - 76.0%",Grano de cacao
"Bejofo Estate, batch 1 - 76.0%",Azúcar
"Bejofo Estate, batch 1 - 76.0%",Manteca de cacao
"Matasawalevu, batch 1 - 68.0%",Grano de cacao
"Matasawalevu, batch 1 - 68.0%",Azúcar
"Matasawalevu, batch 1 - 68.0%",Manteca de cacao
"Sur del Lago, batch 1 - 72.0%",Grano de cacao
"Sur del Lago, batch 1 - 72.0%",Azúcar
"Sur del Lago, batch 1 - 72.0%",Manteca de cacao
"Semuliki Forest, batch 1 - 80.0%",Grano de cacao
"Semuliki Forest, batch 1 - 80.0%",Azúcar
"Semuliki Forest, batch 1 - 80.0%",Manteca de cacao
"Anamalai, batch 1 - 68.0%",Grano de cacao
"Anamalai, batch 1 - 68.0%",Azúcar
"Anamalai, batch 1 - 68.0%",Manteca de cacao
Bolivia - 70.0%,Grano de cacao
Bolivia - 70.0%,Azúcar
Bolivia - 70.0%,Manteca de cacao
Bolivia - 70.0%,Lecitina
Peru - 63.0%,Grano de cacao
Peru - 63.0%,Azúcar
Peru - 63.0%,Manteca de cacao
Peru - 63.0%,Lecitina
Panama - 70.0%,Grano de cacao
Panama - 70.0%,Azúcar
Panama - 70.0%,Manteca de cacao
Panama - 70.0%,Lecitina
Colombie - 70.0%,Grano de cacao
Colombie - 70.0%,Azúcar
Colombie - 70.0%,Manteca de cacao
Colombie - 70.0%,Lecitina
"Madagascar, Criollo - 70.0%",Grano de cacao
"Madagascar, Criollo - 70.0%",Azúcar
"Madagascar, Criollo - 70.0%",Manteca de cacao
"Madagascar, Criollo - 70.0%",Lecitina
Birmanie - 70.0%,Grano de cacao
Birmanie - 70.0%,Azúcar
Birmanie - 70.0%,Manteca de cacao
Birmanie - 70.0%,Lecitina
Brazil - 70.0%,Grano de cacao
Brazil - 70.0%,Azúcar
Brazil - 70.0%,Manteca de cacao
Brazil - 70.0%,Lecitina
Papua New Guinea - 70.0%,Grano de cacao
Papua New Guinea - 70.0%,Azúcar
Papua New Guinea - 70.0%,Manteca de cacao
Papua New Guinea - 70.0%,Lecitina
Piura - 70.0%,Grano de cacao
Piura - 70.0%,Azúcar
Piura - 70.0%,Manteca de cacao
Piura - 70.0%,Lecitina
Chanchamayo Province - 70.0%,Grano de cacao
Chanchamayo Province - 70.0%,Azúcar
Chanchamayo Province - 70.0%,Manteca de cacao
Chanchamayo Province - 70.0%,Lecitina
Equateur - 70.0%,Grano de cacao
Equateur - 70.0%,Azúcar
Equateur - 70.0%,Manteca de cacao
Equateur - 70.0%,Lecitina
Chuao - 70.0%,Grano de cacao
Chuao - 70.0%,Azúcar
Chuao - 70.0%,Manteca de cacao
Chuao - 70.0%,Lecitina
Chanchamayo Province - 63.0%,Grano de cacao
Chanchamayo Province - 63.0%,Azúcar
Chanchamayo Province - 63.0%,Manteca de cacao
"Carenero, Criollo - 70.0%",Grano de cacao
"Carenero, Criollo - 70.0%",Azúcar
"Carenero, Criollo - 70.0%",Manteca de cacao
"Carenero, Criollo - 70.0%",Lecitina
Cuba - 70.0%,Grano de cacao
Cuba - 70.0%,Azúcar
Cuba - 70.0%,Manteca de cacao
Cuba - 70.0%,Lecitina
"Sur del Lago, Criollo - 70.0%",Grano de cacao
"Sur del Lago, Criollo - 70.0%",Azúcar
"Sur del Lago, Criollo - 70.0%",Manteca de cacao
"Sur del Lago, Criollo - 70.0%",Lecitina
"Puerto Cabello, Criollo - 70.0%",Grano de cacao
"Puerto Cabello, Criollo - 70.0%",Azúcar
"Puerto Cabello, Criollo - 70.0%",Manteca de cacao
"Puerto Cabello, Criollo - 70.0%",Lecitina
Pablino - 70.0%,Grano de cacao
Pablino - 70.0%,Azúcar
Pablino - 70.0%,Manteca de cacao
Pablino - 70.0%,Lecitina
Kpime - 70.0%,Grano de cacao
Kpime - 70.0%,Azúcar
Kpime - 70.0%,Manteca de cacao
Kpime - 70.0%,Lecitina
Atsane - 70.0%,Grano de cacao
Atsane - 70.0%,Azúcar
Atsane - 70.0%,Manteca de cacao
Atsane - 70.0%,Lecitina
Akata - 70.0%,Grano de cacao
Akata - 70.0%,Azúcar
Akata - 70.0%,Manteca de cacao
Akata - 70.0%,Lecitina
Quilla - 70.0%,Grano de cacao
Quilla - 70.0%,Azúcar
Quilla - 70.0%,Manteca de cacao
Quilla - 70.0%,Lecitina
Agua Grande - 63.0%,Grano de cacao
Agua Grande - 63.0%,Azúcar
Agua Grande - 63.0%,Manteca de cacao
Agua Grande - 63.0%,Lecitina
Porcelana - 70.0%,Grano de cacao
Porcelana - 70.0%,Azúcar
Porcelana - 70.0%,Manteca de cacao
Porcelana - 70.0%,Lecitina
Absolu - 63.0%,Grano de cacao
Absolu - 63.0%,Azúcar
Absolu - 63.0%,Manteca de cacao
Absolu - 63.0%,Lecitina
La Joya - 70.0%,Grano de cacao
La Joya - 70.0%,Azúcar
La Joya - 70.0%,Manteca de cacao
La Joya - 70.0%,Lecitina
"Chulucanas, El Platanal, batch 001 - 70.0%",Grano de cacao
"Chulucanas, El Platanal, batch 001 - 70.0%",Azúcar
"Tumbes, Norandino - 70.0%",Grano de cacao
"Tumbes, Norandino - 70.0%",Azúcar
"Teapa, Tabasco, batch 2 - 74.0%",Grano de cacao
"Teapa, Tabasco, batch 2 - 74.0%",Azúcar
"Barataria, El Plantal and Norandino Tumbes blend - 70.0%",Grano de cacao
"Barataria, El Plantal and Norandino Tumbes blend - 70.0%",Azúcar
Vanua Levu - 60.0%,Grano de cacao
Vanua Levu - 60.0%,Azúcar
Vanua Levu - 60.0%,Manteca de cacao
"Vanua Levu, Toto-A - 80.0%",Grano de cacao
"Vanua Levu, Toto-A - 80.0%",Azúcar
"Vanua Levu, Toto-A - 80.0%",Manteca de cacao
Vanua Levu - 88.0%,Grano de cacao
Vanua Levu - 88.0%,Azúcar
Vanua Levu - 88.0%,Manteca de cacao
"Vanua Levu, Ami-Ami-CA - 72.0%",Grano de cacao
"Vanua Levu, Ami-Ami-CA - 72.0%",Azúcar
"Vanua Levu, Ami-Ami-CA - 72.0%",Manteca de cacao
"Malekula Island, batch M10/19 - 70.0%",Grano de cacao
"Malekula Island, batch M10/19 - 70.0%",Azúcar
"Malo Island, batch Ma20/19 - 70.0%",Grano de cacao
"Malo Island, batch Ma20/19 - 70.0%",Azúcar
"Santo Island, batch S15/19 - 70.0%",Grano de cacao
"Santo Island, batch S15/19 - 70.0%",Azúcar
"EPI Island, batch E 11/19 - 70.0%",Grano de cacao
"EPI Island, batch E 11/19 - 70.0%",Azúcar
"Los Rios, Quevedo, Arriba - 55.0%",Grano de cacao
"Los Rios, Quevedo, Arriba - 55.0%",Azúcar
"Los Rios, Quevedo, Arriba - 55.0%",Manteca de cacao
"Los Rios, Quevedo, Arriba - 55.0%",Vainilla
"Los Rios, Quevedo, Arriba - 70.0%",Grano de cacao
"Los Rios, Quevedo, Arriba - 70.0%",Azúcar
"Los Rios, Quevedo, Arriba - 70.0%",Manteca de cacao
"Los Rios, Quevedo, Arriba - 70.0%",Vainilla
Tabasco - 70.0%,Grano de cacao
Tabasco - 70.0%,Azúcar
Tabasco - 70.0%,Manteca de cacao
"Madagascar, Ambolikapiky P. - 75.0%",Grano de cacao
"Madagascar, Ambolikapiky P. - 75.0%",Azúcar
"Madagascar, Ambolikapiky P. - 75.0%",Manteca de cacao
"Madagascar, Ambolikapiky P. - 75.0%",Lecitina
"Monte Alegre, D. Badero - 75.0%",Grano de cacao
"Monte Alegre, D. Badero - 75.0%",Azúcar
"Monte Alegre, D. Badero - 75.0%",Manteca de cacao
"Monte Alegre, D. Badero - 75.0%",Lecitina
"Bali (west), Sukrama Family, Melaya area - 75.0%",Grano de cacao
"Bali (west), Sukrama Family, Melaya area - 75.0%",Azúcar
"Bali (west), Sukrama Family, Melaya area - 75.0%",Manteca de cacao
"Bali (west), Sukrama Family, Melaya area - 75.0%",Lecitina
Chuao - 75.0%,Grano de cacao
Chuao - 75.0%,Azúcar
Chuao - 75.0%,Manteca de cacao
Chuao - 75.0%,Vainilla
Chuao - 75.0%,Lecitina
"Piura, Perou - 75.0%",Grano de cacao
"Piura, Perou - 75.0%",Azúcar
"Piura, Perou - 75.0%",Manteca de cacao
"Piura, Perou - 75.0%",Vainilla
"Piura, Perou - 75.0%",Lecitina
Trinite - 65.0%,Grano de cacao
Trinite - 65.0%,Azúcar
Trinite - 65.0%,Manteca de cacao
Trinite - 65.0%,Vainilla
Trinite - 65.0%,Lecitina
Trinite - 65.0%,Sal
Vietnam - 75.0%,Grano de cacao
Vietnam - 75.0%,Azúcar
Vietnam - 75.0%,Manteca de cacao
Vietnam - 75.0%,Vainilla
Vietnam - 75.0%,Sal
Madagascar - 75.0%,Grano de cacao
Madagascar - 75.0%,Azúcar
Madagascar - 75.0%,Manteca de cacao
Madagascar - 75.0%,Vainilla
Madagascar - 75.0%,Sal
"Porcelana, Mexique - 75.0%",Grano de cacao
"Porcelana, Mexique - 75.0%",Azúcar
"Porcelana, Mexique - 75.0%",Manteca de cacao
"Porcelana, Mexique - 75.0%",Vainilla
"Porcelana, Mexique - 75.0%",Lecitina
"Porcelana, Mexique - 75.0%",Sal
"Winak Coop, Napo - 70.0%",Grano de cacao
"Winak Coop, Napo - 70.0%",Azúcar
"Winak Coop, Napo - 70.0%",Manteca de cacao
"La Dalia, Matagalpa - 70.0%",Grano de cacao
"La Dalia, Matagalpa - 70.0%",Azúcar
"La Dalia, Matagalpa - 70.0%",Manteca de cacao
"Makwale Village, Kyela - 70.0%",Grano de cacao
"Makwale Village, Kyela - 70.0%",Azúcar
"Makwale Village, Kyela - 70.0%",Manteca de cacao
Tien Giang - 70.0%,Grano de cacao
Tien Giang - 70.0%,Azúcar
Tien Giang - 70.0%,Manteca de cacao
Sur del Lago - 60.0%,Grano de cacao
Sur del Lago - 60.0%,Azúcar
Sur del Lago - 60.0%,Manteca de cacao
Sur del Lago - 60.0%,Lecitina
"Conacado, batch 130 - 60.0%",Grano de cacao
"Conacado, batch 130 - 60.0%",Azúcar
"Conacado, batch 130 - 60.0%",Manteca de cacao
"Conacado, batch 130 - 60.0%",Lecitina
"Bolivia, batch 154 - 60.0%",Grano de cacao
"Bolivia, batch 154 - 60.0%",Azúcar
"Bolivia, batch 154 - 60.0%",Manteca de cacao
"Bolivia, batch 154 - 60.0%",Lecitina
"Bolivia, batch 101 - 80.0%",Grano de cacao
"Bolivia, batch 101 - 80.0%",Azúcar
"Bolivia, batch 101 - 80.0%",Manteca de cacao
"Bolivia, batch 101 - 80.0%",Lecitina
"Peru, batch 148 - 60.0%",Grano de cacao
"Peru, batch 148 - 60.0%",Azúcar
"Peru, batch 148 - 60.0%",Manteca de cacao
"Peru, batch 148 - 60.0%",Lecitina
CIAAB Coop - 60.0%,Grano de cacao
CIAAB Coop - 60.0%,Azúcar
CIAAB Coop - 60.0%,Manteca de cacao
Villa Andina - 60.0%,Grano de cacao
Villa Andina - 60.0%,Azúcar
Villa Andina - 60.0%,Manteca de cacao
Momotombo - 60.0%,Grano de cacao
Momotombo - 60.0%,Azúcar
Momotombo - 60.0%,Manteca de cacao
Gruppo Salinas - 60.0%,Grano de cacao
Gruppo Salinas - 60.0%,Azúcar
Gruppo Salinas - 60.0%,Manteca de cacao
Acopagro - 60.0%,Grano de cacao
Acopagro - 60.0%,Azúcar
Acopagro - 60.0%,Manteca de cacao
Oko Caribe - 70.0%,Grano de cacao
Oko Caribe - 70.0%,Azúcar
Oko Caribe - 70.0%,Manteca de cacao
Cuyagua - 70.0%,Grano de cacao
Cuyagua - 70.0%,Azúcar
Cuyagua - 70.0%,Manteca de cacao
Cuyagua - 70.0%,Vainilla
Madagascar - 70.0%,Grano de cacao
Madagascar - 70.0%,Azúcar
Madagascar - 70.0%,Manteca de cacao
Madagascar - 70.0%,Vainilla
Ocumare - 70.0%,Grano de cacao
Ocumare - 70.0%,Azúcar
Ocumare - 70.0%,Manteca de cacao
Ocumare - 70.0%,Vainilla
"Bali, Jembrana - 70.0%",Grano de cacao
"Bali, Jembrana - 70.0%",Azúcar
"Bali, Jembrana - 70.0%",Manteca de cacao
"Bali, Jembrana - 70.0%",Vainilla
Montanya - 70.0%,Grano de cacao
Montanya - 70.0%,Azúcar
Montanya - 70.0%,Manteca de cacao
Montanya - 70.0%,Vainilla
Chuao - 70.0%,Grano de cacao
Chuao - 70.0%,Azúcar
Chuao - 70.0%,Manteca de cacao
Chuao - 70.0%,Vainilla
Dos Rios - 70.0%,Grano de cacao
Dos Rios - 70.0%,Azúcar
Dos Rios - 70.0%,Manteca de cacao
Dos Rios - 70.0%,Vainilla
Guayas - 70.0%,Grano de cacao
Guayas - 70.0%,Azúcar
Guayas - 70.0%,Manteca de cacao
Guayas - 70.0%,Vainilla
Morobe - 70.0%,Grano de cacao
Morobe - 70.0%,Azúcar
Morobe - 70.0%,Manteca de cacao
Morobe - 70.0%,Vainilla
Ecuador - 70.0%,Grano de cacao
Ecuador - 70.0%,Azúcar
Ecuador - 85.0%,Grano de cacao
Ecuador - 85.0%,Azúcar
Ghana - 70.0%,Grano de cacao
Ghana - 70.0%,Azúcar
Ghana - 85.0%,Grano de cacao
Ghana - 85.0%,Azúcar
"LamasdelChanka, San Martin, Oro Verde coop - 72.0%",Grano de cacao
"LamasdelChanka, San Martin, Oro Verde coop - 72.0%",Azúcar
"LamasdelChanka, San Martin, Oro Verde coop - 72.0%",Manteca de cacao
"Bellavista Gran Pajeten, San Martin - 73.0%",Grano de cacao
"Bellavista Gran Pajeten, San Martin - 73.0%",Azúcar
"Bellavista Gran Pajeten, San Martin - 73.0%",Manteca de cacao
Belize - 64.0%,Grano de cacao
Belize - 64.0%,Azúcar
Belize - 64.0%,Manteca de cacao
Belize - 64.0%,Lecitina
Madagascar - 66.0%,Grano de cacao
Madagascar - 66.0%,Azúcar
Dominican Republic - 75.0%,Grano de cacao
Dominican Republic - 75.0%,Azúcar
Papua New Guinea - 63.0%,Grano de cacao
Papua New Guinea - 63.0%,Azúcar
Venezuela - 70.0%,Grano de cacao
Venezuela - 70.0%,Azúcar
Peru - 68.0%,Grano de cacao
Peru - 68.0%,Azúcar
Toscano Black - 66.0%,Grano de cacao
Toscano Black - 66.0%,Azúcar
Toscano Black - 66.0%,Manteca de cacao
Toscano Black - 66.0%,Vainilla
Ecuador - 70.0%,Grano de cacao
Ecuador - 70.0%,Azúcar
Ecuador - 70.0%,Manteca de cacao
Ecuador - 70.0%,Vainilla
Jamaica - 70.0%,Grano de cacao
Jamaica - 70.0%,Azúcar
Jamaica - 70.0%,Manteca de cacao
Jamaica - 70.0%,Vainilla
Grenada - 70.0%,Grano de cacao
Grenada - 70.0%,Azúcar
Grenada - 70.0%,Manteca de cacao
Grenada - 70.0%,Vainilla
Trinidad - 70.0%,Grano de cacao
Trinidad - 70.0%,Azúcar
Trinidad - 70.0%,Manteca de cacao
Trinidad - 70.0%,Vainilla
Toscano Black - 63.0%,Grano de cacao
Toscano Black - 63.0%,Azúcar
Toscano Black - 63.0%,Manteca de cacao
Toscano Black - 63.0%,Vainilla
Venezuela - 70.0%,Grano de cacao
Venezuela - 70.0%,Azúcar
Venezuela - 70.0%,Manteca de cacao
Venezuela - 70.0%,Vainilla
"Piura, Blanco de Criollo - 70.0%",Grano de cacao
"Piura, Blanco de Criollo - 70.0%",Azúcar
"Piura, Blanco de Criollo - 70.0%",Manteca de cacao
"Piura, Blanco de Criollo - 70.0%",Vainilla
Madagascar - 70.0%,Grano de cacao
Madagascar - 70.0%,Azúcar
Madagascar - 70.0%,Manteca de cacao
Madagascar - 70.0%,Vainilla
Chuao - 70.0%,Grano de cacao
Chuao - 70.0%,Azúcar
Chuao - 70.0%,Manteca de cacao
Chuao - 70.0%,Vainilla
Porcelana - 70.0%,Grano de cacao
Porcelana - 70.0%,Azúcar
Porcelana - 70.0%,Manteca de cacao
Porcelana - 70.0%,Vainilla
Nine - 75.0%,Grano de cacao
Nine - 75.0%,Azúcar
Nine - 75.0%,Manteca de cacao
Nine - 75.0%,Vainilla
Toscano Black - 70.0%,Grano de cacao
Toscano Black - 70.0%,Azúcar
Toscano Black - 70.0%,Manteca de cacao
"Monte Alegre, 3 diff. plantations - 85.0%",Grano de cacao
"Monte Alegre, 3 diff. plantations - 85.0%",Azúcar
"Monte Alegre, 3 diff. plantations - 85.0%",Manteca de cacao
"Monte Alegre, 3 diff. plantations - 85.0%",Lecitina
"Monte Alegre, 3 diff. plantations - 50.0%",Grano de cacao
"Monte Alegre, 3 diff. plantations - 50.0%",Azúcar
"Monte Alegre, 3 diff. plantations - 50.0%",Manteca de cacao
"Monte Alegre, 3 diff. plantations - 50.0%",Lecitina
"Monte Alegre, 3 diff. plantations - 75.0%",Grano de cacao
"Monte Alegre, 3 diff. plantations - 75.0%",Azúcar
"Monte Alegre, 3 diff. plantations - 75.0%",Manteca de cacao
"Monte Alegre, 3 diff. plantations - 75.0%",Lecitina
"Monte Alegre, 3 diff. plantations - 60.0%",Grano de cacao
"Monte Alegre, 3 diff. plantations - 60.0%",Azúcar
"Monte Alegre, 3 diff. plantations - 60.0%",Manteca de cacao
"Monte Alegre, 3 diff. plantations - 60.0%",Lecitina
Catongo - 75.0%,Grano de cacao
Catongo - 75.0%,Azúcar
Catongo - 75.0%,Manteca de cacao
Catongo - 75.0%,Lecitina
Elvesia - 75.0%,Grano de cacao
Elvesia - 75.0%,Azúcar
Alto Beni - 75.0%,Grano de cacao
Alto Beni - 75.0%,Azúcar
"Maya Mountain, batch 39 - 75.0%",Grano de cacao
"Maya Mountain, batch 39 - 75.0%",Azúcar
"Alta Verapaz, Cahabon & Lanquin regions, b. 4243 - 75.0%",Grano de cacao
"Alta Verapaz, Cahabon & Lanquin regions, b. 4243 - 75.0%",Azúcar
Chiapas - 72.0%,Grano de cacao
Chiapas - 72.0%,Azúcar
Chiapas - 72.0%,Manteca de cacao
Equateur - 75.0%,Grano de cacao
Equateur - 75.0%,Azúcar
Equateur - 75.0%,Manteca de cacao
Madagascar - 75.0%,Grano de cacao
Madagascar - 75.0%,Azúcar
Madagascar - 75.0%,Manteca de cacao
Trincheras - 75.0%,Grano de cacao
Trincheras - 75.0%,Azúcar
Trincheras - 75.0%,Manteca de cacao
Fazenda Camboa - 75.0%,Grano de cacao
Fazenda Camboa - 75.0%,Azúcar
Guatemala - 70.0%,Grano de cacao
