name_distinct,review
"Kokoa Kamili, batch 1 - 76.0%",rich cocoa
"Kokoa Kamili, batch 1 - 76.0%", fatty
"Kokoa Kamili, batch 1 - 76.0%", bready
"Zorzal, batch 1 - 76.0%",cocoa
"Zorzal, batch 1 - 76.0%", vegetal
"Zorzal, batch 1 - 76.0%", savory
"Bejofo Estate, batch 1 - 76.0%",cocoa
"Bejofo Estate, batch 1 - 76.0%", blackberry
"Bejofo Estate, batch 1 - 76.0%", full body
"Matasawalevu, batch 1 - 68.0%",chewy
"Matasawalevu, batch 1 - 68.0%", off
"Matasawalevu, batch 1 - 68.0%", rubbery
"Sur del Lago, batch 1 - 72.0%",fatty
"Sur del Lago, batch 1 - 72.0%", earthy
"Sur del Lago, batch 1 - 72.0%", moss
"Sur del Lago, batch 1 - 72.0%", nutty
"Sur del Lago, batch 1 - 72.0%",chalky
"Semuliki Forest, batch 1 - 80.0%",mildly bitter
"Semuliki Forest, batch 1 - 80.0%", basic cocoa
"Semuliki Forest, batch 1 - 80.0%", fatty
"Anamalai, batch 1 - 68.0%",milk brownie
"Anamalai, batch 1 - 68.0%", macadamia
"Anamalai, batch 1 - 68.0%",chewy
Bolivia - 70.0%,vegetal
Bolivia - 70.0%, nutty
Peru - 63.0%,fruity
Peru - 63.0%, melon
Peru - 63.0%, roasty
Panama - 70.0%,brief fruit note
Panama - 70.0%, earthy
Panama - 70.0%, nutty
Colombie - 70.0%,burnt rubber
Colombie - 70.0%,alkalyzed notes
"Madagascar, Criollo - 70.0%",sticky
"Madagascar, Criollo - 70.0%", red fruit
"Madagascar, Criollo - 70.0%", sour
Birmanie - 70.0%,sticky
Birmanie - 70.0%, smokey
Birmanie - 70.0%, grass
Brazil - 70.0%,mild tobacco
Papua New Guinea - 70.0%,mild fruit
Papua New Guinea - 70.0%, strong smoke
Piura - 70.0%,green
Piura - 70.0%, nutty
Piura - 70.0%, cocoa
Chanchamayo Province - 70.0%,cocoa
Chanchamayo Province - 70.0%,sour
Chanchamayo Province - 70.0%,intense tangerine
Equateur - 70.0%,sandy
Equateur - 70.0%, nutty
Equateur - 70.0%, cocoa
Equateur - 70.0%, fig
Chuao - 70.0%,oily
Chuao - 70.0%, nut
Chuao - 70.0%, caramel
Chuao - 70.0%, raspberry
Chanchamayo Province - 63.0%,sweet
Chanchamayo Province - 63.0%, cocoa
Chanchamayo Province - 63.0%, tangerine
"Carenero, Criollo - 70.0%",harsh
"Carenero, Criollo - 70.0%", leather
"Carenero, Criollo - 70.0%", earthy
Cuba - 70.0%,sliglty dry
Cuba - 70.0%, papaya
"Sur del Lago, Criollo - 70.0%",nutty
"Sur del Lago, Criollo - 70.0%", mild choco
"Sur del Lago, Criollo - 70.0%", roasty
"Puerto Cabello, Criollo - 70.0%",astringent
"Puerto Cabello, Criollo - 70.0%", nutty
"Puerto Cabello, Criollo - 70.0%", chocolatey
Pablino - 70.0%,delicate
Pablino - 70.0%, hazelnut
Pablino - 70.0%, brownie
Kpime - 70.0%,burnt wood
Kpime - 70.0%, earthy
Kpime - 70.0%, choco
Atsane - 70.0%,roasty
Atsane - 70.0%, acidic
