,MAE,MSE,RMSE,R2,set,modelo
0,264.8424657534247,178388.34931506848,422.36044951565776,0.6286856240922785,test,DT Casual I
1,0.0,0.0,0.0,1.0,train,DT Casual I
0,209.11549993205165,91820.00387891338,303.0181576719676,0.8088771628469609,test,DT Casual II
1,234.9412147669334,123310.5519504738,351.15602223295815,0.7363503558233666,train,DT Casual II
0,230.01319385579924,113469.94104063741,336.85299618771006,0.7638129367553308,test,DT Casual III
1,236.41085371139272,126165.76013516272,355.198198383892,0.7302456501835298,train,DT Casual III
0,254.03436163126958,133702.86940296672,365.65402965503705,0.7216982067491972,test,RF Casual I
1,254.5049824801779,137602.41474098776,370.9479946582644,0.705792998973211,train,RF Casual I
0,269.23666877872176,154141.38068740658,392.60843175791143,0.6791555570122412,test,RF Casual II
1,282.1695831425303,163919.4453769704,404.8696646786104,0.6495246938426888,train,RF Casual II
0,275.3571501211376,154598.91164749325,393.1906810282935,0.6782032088148655,test,RF Casual III
1,282.1424117196328,163340.74392946993,404.1543565637638,0.650762012371433,train,RF Casual III
