,MAE,MSE,RMSE,R2,set,modelo
0,487.1917808219178,683562.5479452055,826.7784152632466,0.6833263861349115,test,DT Registrado I
1,0.0,0.0,0.0,1.0,train,DT Registrado I
0,506.4996833321571,427116.47457647254,653.5414864998797,0.8021300055832052,test,DT Registrado II
1,481.0273368086498,447415.77135501517,668.8914496052519,0.8205370347797406,train,DT Registrado II
0,663.4536284043409,811805.2480031231,901.0023573793374,0.623915466971428,test,DT Registrado III
1,645.2125183426142,725418.0438538914,851.7147667229278,0.7090275276170364,train,DT Registrado III
0,681.576341744351,683906.2708522103,826.9862579585047,0.6831671498288021,test,RF Registrado I
1,704.7580287251494,776978.4815751925,881.4638288524337,0.6883461175418046,train,RF Registrado I
0,679.8461034252465,646001.219527556,803.7420105528614,0.7007274003469188,test,RF Registrado II
1,700.2507495214389,771496.3128147651,878.3486282876322,0.6905450705617318,train,RF Registrado II
0,696.8597822256489,681217.6139656703,825.359081833883,0.6844127223009384,test,RF Registrado III
1,707.329117664155,774675.6082681838,880.1565816763423,0.6892698231835408,train,RF Registrado III
