,MAE,MSE,RMSE,R2,set,modelo
0,530.6301369863014,578029.0547945206,760.2822204908653,0.8311259882338253,test,DT Total I
1,0.0,0.0,0.0,1.0,train,DT Total I
0,672.3353954516301,782382.4308112706,884.5238441168619,0.7714231512576151,test,DT Total II
1,634.7976823560494,816608.7691260952,903.6640798029405,0.7859867464040051,train,DT Total II
0,643.7765392784252,660775.8192254864,812.8811839534031,0.8069511168251636,test,DT Total III
1,632.2092482496183,774557.1024858317,880.0892582493162,0.7970074632234535,train,DT Total III
0,809.6812191216,967201.182108963,983.4638692442967,0.7174274503107981,test,RF Total I
1,812.1866213006405,1060341.5463923288,1029.7288703305976,0.7221103264550051,train,RF Total I
0,835.4966305277763,988070.9722853274,994.0175915371556,0.7113302391713792,test,RF Total II
1,837.4595898380497,1128640.0602892102,1062.3747268686366,0.704210950734995,train,RF Total II
0,751.4922148898347,852110.5419994497,923.0983382064176,0.7510517429840092,test,RF Total III
1,812.1866213006405,1060341.5463923288,1029.7288703305976,0.7221103264550051,train,RF Total III
