,MAE,MSE,RMSE,R2,set,modelo
0,0.04416215625052195,0.003681671031451348,0.06067677505810067,0.9917210679172065,test,DT Total I
1,0.0,0.0,0.0,1.0,train,DT Total I
0,0.15696422168796703,0.047326151781092195,0.21754574641001878,0.8935782167965223,test,DT Total II
1,0.13058101268791963,0.03080108307280875,0.1755023734107569,0.9385441331506678,train,DT Total II
0,0.15696422168796703,0.047326151781092195,0.21754574641001878,0.8935782167965223,test,DT total III
1,0.13058101268791963,0.03080108307280875,0.1755023734107569,0.9385441331506678,train,DT total III
0,0.10111655687941944,0.022497863004876918,0.1499928765137762,0.9494093094591496,test,RF total I
1,0.1294882649052275,0.03272415774586009,0.18089819718797667,0.9347071180441211,train,RF total I
0,0.10744801268017899,0.02471973858865337,0.15722512073028716,0.9444130029186244,test,RF total II
1,0.13448894223159652,0.033912537989470824,0.18415357175322672,0.9323360021374149,train,RF total II
0,0.13054463321863163,0.03114497414355493,0.17647938730501908,0.9299646482664679,test,RF total III
1,0.15611893860650852,0.04744900256335665,0.21782791961398487,0.9053273686261527,train,RF total III
